"track_id","track_name","artist_name","album_name","album_release_year","album_release_date_precision","album_type","album_release_date","track_number","explicit","type","disc_number","time_signature","tempo","duration_ms","key_name","mode_name","key_mode","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","Position","Year","Top_100"
"4XCvXkbtuPLs4bjDPpJvQW","'65 Love Affair","Paul Davis","Cool Night",1981,"year","album","1981",6,FALSE,"track",1,4,154.549,233800,"A","minor","A minor",0.654,0.764,9,-4.046,0,0.0289,0.558,0,0.204,0.88,"39",1982,"Yes"
"3kGMziz884MLV1oCwrarmN","'Til You Do Me Right","After 7","Reflections",1995,"day","album","1995-01-01",1,FALSE,"track",1,4,76.794,295000,"D","minor","D minor",0.663,0.462,2,-8.784,0,0.0252,0.306,0,0.0687,0.431,"88",1995,"Yes"
"2gZLRMUcOjVsolA9xoVVNF","(At Your Best) You Are Love","Aaliyah","I Care 4 U",2002,"year","album","2002",13,FALSE,"track",1,4,78.086,289459,"A","minor","A minor",0.623,0.475,9,-9.071,0,0.0313,0.7,0.0135,0.0819,0.517,"70",1994,"Yes"
"0b7qiL1rLbUUpGXczt7p5T","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomas","Reunion",1975,"day","album","1975-01-01",1,FALSE,"track",1,4,124.806,206066,"E","major","E major",0.637,0.528,4,-11.287,1,0.0328,0.744,0,0.114,0.702,"18",1975,"Yes"
"43rNhLXPrpaFqTMyJFNXdE","(I Don't Know Why) But I Do","Clarence ""Frogman"" Henry","Ain't Got No Home",2013,"day","album","2013-11-25",3,FALSE,"track",1,4,109.801,141245,"A#","major","A# major",0.669,0.519,10,-6.854,1,0.0269,0.584,0,0.157,0.81,"43",1961,"Yes"
"4ByEFOBuLXpCqvO1kw8Wdm","(I Just) Died In Your Arms","Cutting Crew","Broadcast",1986,"day","album","1986-01-01",6,FALSE,"track",1,4,124.945,280400,"B","minor","B minor",0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,"32",1987,"Yes"
"2jmIP4aF4e0mzzNqTZ0onh","(I Know) I'm Losing You","Rare Earth","Get Ready",2013,"day","album","2013-05-23",3,FALSE,"track",1,4,99.723,217881,"F#","minor","F# minor",0.539,0.717,6,-8.518,0,0.0534,0.391,2.15e-06,0.251,0.732,"55",1970,"Yes"
"7qQeJDee63vsZX369hGJ0F","(If Loving You Is Wrong) I Don't Want to Be Right","Luther Ingram","Luther Ingram Refreshed",2013,"day","album","2013-11-18",1,FALSE,"track",1,4,140.474,216800,"E","minor","E minor",0.502,0.451,4,-7.423,0,0.0438,0.283,0,0.154,0.531,"16",1972,"Yes"
"4P23OJCIsurEe5wyarTfZU","(Just Like) Starting Over","John Lennon","Double Fantasy Stripped Down",2010,"day","album","2010-10-01",1,FALSE,"track",1,4,102.196,264466,"A","major","A major",0.565,0.778,9,-5.868,1,0.0814,0.161,0.000144,0.277,0.307,"4",1981,"Yes"
"023eULVQnnwQo7d4mabizk","(Last Night) I Didn't Get to Sleep at All","The 5th Dimension","The Very Best Of",1999,"day","album","1999-06-11",6,FALSE,"track",1,4,105.247,189666,"F","minor","F minor",0.665,0.566,5,-10.324,0,0.0278,0.456,0.00128,0.106,0.591,"31",1972,"Yes"
"5WdF8jm3hBNi1t9qlqdjsE","(Love Is) Thicker Than Water","Andy Gibb","Flowing Rivers",1977,"day","album","1977-09-09",6,FALSE,"track",1,4,96.479,255960,"F#","minor","F# minor",0.586,0.463,6,-9.929,0,0.0252,0.129,7.08e-05,0.0757,0.551,"8",1978,"Yes"
"4Buj7X6JIzyrWMGIx1tCKR","(Now and Then There's) A Fool Such as I","Elvis Presley","Elvis: El Disco de Oro",2017,"day","album","2017-10-13",15,FALSE,"track",1,4,126.923,159786,"C","major","C major",0.592,0.722,0,-6.181,1,0.0405,0.908,2.26e-05,0.247,0.717,"34",1959,"Yes"
"1RsxUuB1Q5OdseLpHMBkEN","(Our Love) Don't Throw It All Away","Andy Gibb","Shadow Dancing",1978,"day","album","1978-04-04",5,FALSE,"track",1,4,142.441,250200,"F","major","F major",0.349,0.344,5,-13.206,1,0.0526,0.359,0.000129,0.603,0.228,"58",1979,"Yes"
"2v7MuIYGiVEmhUfSn17oW3","(She's) Sexy + 17","Stray Cats","Runaway Boys: A Retrospective '81 To '92",1997,"day","album","1997-01-01",17,FALSE,"track",1,4,89.411,209866,"A","major","A major",0.514,0.942,9,-4.501,1,0.053,0.0202,0,0.0569,0.865,"84",1983,"Yes"
"0nxQ8g9wFoFaRf3vhRIS4Q","(Sweet Sweet Baby) Since You've Been Gone","Aretha Franklin","Aretha Franklin: Most Soulful",2018,"day","album","2018-07-09",6,FALSE,"track",1,4,117.228,145506,"F","minor","F minor",0.702,0.583,5,-10.681,0,0.0295,0.414,0.0428,0.0748,0.924,"46",1968,"Yes"
"5TxQYLdCwKHjq6kbQE6YOi","(The Man Who Shot) Liberty Valance","Gene Pitney","Gene Pitney - The Collection",2018,"day","album","2018-06-08",2,FALSE,"track",1,4,88.014,177240,"C#","minor","C# minor",0.602,0.558,1,-10.069,0,0.0634,0.794,0,0.207,0.771,"63",1962,"Yes"
